"country","date","cases","type","total_cases","infection_rate"
"Cabo Verde",2020-01-31,0,"confirmed",0,0
"Cabo Verde",2020-02-01,0,"confirmed",0,0
"Cabo Verde",2020-02-02,0,"confirmed",0,0
"Cabo Verde",2020-02-03,0,"confirmed",0,0
"Cabo Verde",2020-02-04,0,"confirmed",0,0
"Cabo Verde",2020-02-05,0,"confirmed",0,0
"Cabo Verde",2020-02-06,0,"confirmed",0,0
"Cabo Verde",2020-02-07,0,"confirmed",0,0
"Cabo Verde",2020-02-08,0,"confirmed",0,0
"Cabo Verde",2020-02-09,0,"confirmed",0,0
"Cabo Verde",2020-02-10,0,"confirmed",0,0
"Cabo Verde",2020-02-11,0,"confirmed",0,0
"Cabo Verde",2020-02-12,0,"confirmed",0,0
"Cabo Verde",2020-02-13,0,"confirmed",0,0
"Cabo Verde",2020-02-14,0,"confirmed",0,0
"Cabo Verde",2020-02-15,0,"confirmed",0,0
"Cabo Verde",2020-02-16,0,"confirmed",0,0
"Cabo Verde",2020-02-17,0,"confirmed",0,0
"Cabo Verde",2020-02-18,0,"confirmed",0,0
"Cabo Verde",2020-02-19,0,"confirmed",0,0
"Cabo Verde",2020-02-20,0,"confirmed",0,0
"Cabo Verde",2020-02-21,0,"confirmed",0,0
"Cabo Verde",2020-02-22,0,"confirmed",0,0
"Cabo Verde",2020-02-23,0,"confirmed",0,0
"Cabo Verde",2020-02-24,0,"confirmed",0,0
"Cabo Verde",2020-02-25,0,"confirmed",0,0
"Cabo Verde",2020-02-26,0,"confirmed",0,0
"Cabo Verde",2020-02-27,0,"confirmed",0,0
"Cabo Verde",2020-02-28,0,"confirmed",0,0
"Cabo Verde",2020-02-29,0,"confirmed",0,0
"Cabo Verde",2020-03-01,0,"confirmed",0,0
"Cabo Verde",2020-03-02,0,"confirmed",0,0
"Cabo Verde",2020-03-03,0,"confirmed",0,0
"Cabo Verde",2020-03-04,0,"confirmed",0,0
"Cabo Verde",2020-03-05,0,"confirmed",0,0
"Cabo Verde",2020-03-06,0,"confirmed",0,0
"Cabo Verde",2020-03-07,0,"confirmed",0,0
"Cabo Verde",2020-03-08,0,"confirmed",0,0
"Cabo Verde",2020-03-09,0,"confirmed",0,0
"Cabo Verde",2020-03-10,0,"confirmed",0,0
"Cabo Verde",2020-03-11,0,"confirmed",0,0
"Cabo Verde",2020-03-12,0,"confirmed",0,0
"Cabo Verde",2020-03-13,0,"confirmed",0,0
"Cabo Verde",2020-03-14,0,"confirmed",0,0
"Cabo Verde",2020-03-15,0,"confirmed",0,0
"Cabo Verde",2020-03-16,0,"confirmed",0,0
"Cabo Verde",2020-03-17,0,"confirmed",0,0
"Cabo Verde",2020-03-18,0,"confirmed",0,0
"Cabo Verde",2020-03-19,0,"confirmed",0,0
"Cabo Verde",2020-03-20,1,"confirmed",1,1.79860320475119
"Cabo Verde",2020-03-21,2,"confirmed",3,5.39580961425357
"Cabo Verde",2020-03-22,0,"confirmed",3,5.39580961425357
"Cabo Verde",2020-03-23,0,"confirmed",3,5.39580961425357
"Cabo Verde",2020-03-24,0,"confirmed",3,5.39580961425357
"Cabo Verde",2020-03-25,1,"confirmed",4,7.19441281900476
"Cabo Verde",2020-03-26,0,"confirmed",4,7.19441281900476
"Cabo Verde",2020-03-27,1,"confirmed",5,8.99301602375595
"Cabo Verde",2020-03-28,0,"confirmed",5,8.99301602375595
"Cabo Verde",2020-03-29,1,"confirmed",6,10.7916192285071
"Cabo Verde",2020-03-30,0,"confirmed",6,10.7916192285071
"Cabo Verde",2020-03-31,0,"confirmed",6,10.7916192285071
"Cabo Verde",2020-04-01,0,"confirmed",6,10.7916192285071
"Cabo Verde",2020-04-02,0,"confirmed",6,10.7916192285071
"Cabo Verde",2020-04-03,0,"confirmed",6,10.7916192285071
"Cabo Verde",2020-04-04,1,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-05,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-06,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-07,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-08,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-09,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-10,0,"confirmed",7,12.5902224332583
"Cabo Verde",2020-04-11,1,"confirmed",8,14.3888256380095
"Cabo Verde",2020-04-12,0,"confirmed",8,14.3888256380095
"Cabo Verde",2020-04-13,2,"confirmed",10,17.9860320475119
"Cabo Verde",2020-04-14,1,"confirmed",11,19.7846352522631
"Cabo Verde",2020-04-15,45,"confirmed",56,100.721779466067
"Cabo Verde",2020-04-16,0,"confirmed",56,100.721779466067
"Cabo Verde",2020-04-17,0,"confirmed",56,100.721779466067
"Cabo Verde",2020-04-18,2,"confirmed",58,104.318985875569
"Cabo Verde",2020-04-19,3,"confirmed",61,109.714795489823
"Cabo Verde",2020-04-20,6,"confirmed",67,120.50641471833
"Cabo Verde",2020-04-21,1,"confirmed",68,122.305017923081
"Cabo Verde",2020-04-22,5,"confirmed",73,131.298033946837
"Cabo Verde",2020-04-23,9,"confirmed",82,147.485462789598
"Cabo Verde",2020-04-24,6,"confirmed",88,158.277082018105
"Cabo Verde",2020-04-25,2,"confirmed",90,161.874288427607
"Cabo Verde",2020-04-26,16,"confirmed",106,190.651939703626
"Cabo Verde",2020-04-27,3,"confirmed",109,196.04774931788
"Cabo Verde",2020-04-28,5,"confirmed",114,205.040765341636
"Cabo Verde",2020-04-29,0,"confirmed",114,205.040765341636
"Cabo Verde",2020-04-30,7,"confirmed",121,217.630987774894
"Cabo Verde",2020-05-01,1,"confirmed",122,219.429590979645
"Cabo Verde",2020-05-02,30,"confirmed",152,273.387687122181
"Cabo Verde",2020-05-03,13,"confirmed",165,296.769528783946
"Cabo Verde",2020-05-04,10,"confirmed",175,314.755560831458
"Cabo Verde",2020-05-05,11,"confirmed",186,334.540196083721
"Cabo Verde",2020-05-06,5,"confirmed",191,343.533212107477
"Cabo Verde",2020-05-07,27,"confirmed",218,392.095498635759
"Cabo Verde",2020-05-08,12,"confirmed",230,413.678737092774
"Cabo Verde",2020-05-09,6,"confirmed",236,424.470356321281
"Cabo Verde",2020-05-10,10,"confirmed",246,442.456388368793
"Cabo Verde",2020-05-11,14,"confirmed",260,467.636833235309
"Cabo Verde",2020-05-12,7,"confirmed",267,480.227055668568
"Cabo Verde",2020-05-13,22,"confirmed",289,519.796326173094
"Cabo Verde",2020-05-14,26,"confirmed",315,566.560009496625
"Cabo Verde",2020-05-15,11,"confirmed",326,586.344644748888
"Cabo Verde",2020-05-16,2,"confirmed",328,589.94185115839
